# MSFS 2024 build matrix — edit this file to change the picks, then run:
#     python make_build_table.py && python make_tierlist_cards.py build
#
# res    1080p | 1440p | 4K       (the GPU index is looked up per resolution)
# tier   entry | mid | high
# vendor amd | nv                 (nv column pairs an Intel CPU with a GeForce/Arc card)
#
# Picks respond to 2026 pricing, which is unusual in several ways:
#
# 1. 32GB of DDR5 is 400 EUR against 240 for DDR4, so entry stays on DDR4 platforms —
#    AM4 for AMD, LGA1700 for Intel. Nothing takes 64GB: that kit costs more than a
#    9800X3D.
# 2. Radeon is better value at every tier. A 9070 XT (669) is cheaper AND faster than a
#    5070 Ti (949), so it is the AMD pick from mid upward. AMD has only two viable cards
#    at these prices — 9060 XT 16GB and 9070 XT — so mid and high share the 9070 XT and
#    differ by CPU. The 9070 GRE at 555 would slot between them but has no benchmark
#    coverage, so it cannot be indexed and is left out.
# 3. Sub-16GB only makes sense at 1080p, and only on the Nvidia side. A 5060 8GB at 319
#    is a real saving over a 5060 Ti 16GB at 562. On AMD it is a trap: the 8GB 9060 XT
#    costs 341 against 414 for the 16GB, and 73 EUR buys +66% at 1080p — so AMD's floor
#    stays at 16GB.
# 4. Intel's CPU ladder is flat for this game (250K Plus is within 2 points of a 285K
#    for 330 EUR less), so the Intel column tops out at a 270K Plus.
#
# 1080p and 1440p share the mid and high parts on purpose — the same cards cover both,
# and the per-resolution index chips show what changes. Entry differs because 8GB is
# survivable at 1080p (+29% penalty) and not at 1440p (+59%).
#
# GPU picks are measured. CPU picks are JUDGEMENT — the CPU index is single-resolution,
# so pairing a chip to a resolution is inference, not measurement.
# Storage: 1TB at entry and mid, 2TB at high. At 240 EUR for 2TB against 140 for 1TB
# it is not where a mid budget belongs.
# RAM must match the CPU socket (AM4 = DDR4, AM5 = DDR5, LGA1700 = either).
res,tier,vendor,cpu,gpu,ram,storage
1080p,entry,amd,Ryzen 5 5600,RX 9060 XT 16GB,32GB DDR4-3200,1TB NVMe
1080p,entry,nv,Core i5-12600KF,RTX 5060,32GB DDR4-3200,1TB NVMe
1080p,mid,amd,Ryzen 7 7800X3D,RX 9070 XT,32GB DDR5-6000,1TB NVMe
1080p,mid,nv,Core Ultra 5 250K Plus,RTX 5070 Ti,32GB DDR5-6000,1TB NVMe
1080p,high,amd,Ryzen 7 9800X3D,RX 9070 XT,32GB DDR5-6000,2TB NVMe
1080p,high,nv,Core Ultra 7 270K Plus,RTX 5080,32GB DDR5-6000,2TB NVMe
1440p,entry,amd,Ryzen 5 5600,RX 9060 XT 16GB,32GB DDR4-3200,1TB NVMe
1440p,entry,nv,Core i5-12600KF,RTX 5060 Ti 16GB,32GB DDR4-3200,1TB NVMe
1440p,mid,amd,Ryzen 7 7800X3D,RX 9070,32GB DDR5-6000,1TB NVMe
1440p,mid,nv,Core Ultra 5 250K Plus,RTX 5070 Ti,32GB DDR5-6000,1TB NVMe
1440p,high,amd,Ryzen 7 9800X3D,RX 9070 XT,32GB DDR5-6000,2TB NVMe
1440p,high,nv,Core Ultra 7 270K Plus,RTX 5080,32GB DDR5-6000,2TB NVMe
4K,entry,amd,Ryzen 7 5800X3D,RX 9070 XT,32GB DDR4-3200,1TB NVMe
4K,entry,nv,Core i5-12400F,RTX 5070 Ti,32GB DDR4-3200,1TB NVMe
4K,mid,amd,Ryzen 7 7800X3D,RX 9070 XT,32GB DDR5-6000,1TB NVMe
4K,mid,nv,Core Ultra 5 250K Plus,RTX 5080,32GB DDR5-6000,1TB NVMe
4K,high,amd,Ryzen 7 9800X3D,RX 9070 XT,32GB DDR5-6000,2TB NVMe
4K,high,nv,Core Ultra 7 270K Plus,RTX 5090,32GB DDR5-6000,2TB NVMe
